nomer_material,tipe_material,nama_material,sat,berat,harga material,pasang_rab,bongkar,jenis_material,kategori_material
592,1,Pasir Urug 20 cm,M3,0,664419,25842,15505,NON MDU,TUNAI
593,1,Transportasi Pembuangan tanah bekas galian,M3,0,0,0,0,NON MDU,TUNAI
594,1,Penjagaan pekerjaan,HKL,0,0,0,0,NON MDU,TUNAI
595,1,Terminal Lug 25 mm 0 Cu (507/U/2009),Bh,"0,4",40392,9272,5563,NON MDU,TUNAI
596,1,Terminal Lug 95 mm 0 Cu (507/U/2009),Bh,"0,4",93467,13907,8344,NON MDU,TUNAI
597,1,Terminal Lug 120 mm 0 Cu (507/U/2009),Bh,"0,23",115450,19164,11499,NON MDU,TUNAI
598,1,Terminal Lug 150 mm 0 Cu (507/U/2009),-,0,138836,13907,8344,NON MDU,TUNAI
599,1,Plat Beton Penanda Kabel @ tiap 5 Meter,Bh,"0,01",99028,29651,17790,NON MDU,TUNAI
600,1,U Ditch K350 (Uk. 600x800x1200 mm) + Tutup LD,Bh,928,1671321,259387,155632,NON MDU,TUNAI
601,1,Bata Merah (hanya untuk sekat antar kabel),Bh,3,1165,1000,600,NON MDU,TUNAI
602,1,Dyna Bolt & Baut M.10,Bh,"0,85",47257,3500,2100,NON MDU,TUNAI
603,1,"OA Kast type I C1 Sistim Press cat powder coating 41,5 KVA",Bh,18,3095031,434605,260763,MDU UID,PLN
604,1,OA Kast type I C1 Sistim Press cat powder coating 53 KVA,Bh,18,11196967,434605,260763,MDU UID,PLN
605,1,OA Kast type I C1 Sistim Press cat powder coating 66 KVA,Bh,18,11196967,434605,260763,MDU UID,PLN
606,1,"OA Kast type I C1 Sistim Press cat powder coating 82,5 KVA",Bh,18,11937787,434605,260763,MDU UID,PLN
607,1,OA Kast type I C1 Sistim Press cat powder coating 105 KVA,Bh,18,11937787,434605,260763,MDU UID,PLN
608,1,OA Kast type I C1 Sistim Press cat powder coating 131 KVA,Bh,18,11937787,434605,260763,MDU UID,PLN
609,1,OA Kast type I C1 Sistim Press cat powder coating 147 KVA,Bh,18,11937787,434605,260763,MDU UID,PLN
610,1,OA Kast type I C1 Sistim Press cat powder coating 164 KVA,Bh,18,11937787,434605,260763,MDU UID,PLN
611,1,OA Kast type I C1 Sistim Press cat powder coating 197 KVA,Bh,18,12890270,434605,260763,MDU UID,PLN
612,1,Cubicle Full Insulated Lengkap(Inc+Out+Met),S,2250,0,0,0,NON MDU,TUNAI
613,1,Cubicle 20 kV;630 A;16 kA (Incoming+Metering+Ougoing),S,1,104194433,1983421,1190053,NON MDU,TUNAI
614,1,Cubicle Incoming,S,2,0,1471967,883180,NON MDU,TUNAI
615,1,Dynabolt S16,Bh,12,0,0,0,NON MDU,TUNAI
616,1,"NYY 2 x 2,5 mm2 ( untuk Heater )",Mt,25,21811,5500,3300,NON MDU,TUNAI
617,1,NYY 4 x 4 mm u/ Wirring Panel,M,15,66782,20002,12001,NON MDU,TUNAI
618,1,NYY 4 x 6 mm u/ Wirring Panel,M,15,66782,20002,12001,NON MDU,TUNAI
619,1,"NYY 2 x 1,5 mm2 ( untuk Heater )",Mt,0,11069,0,0,NON MDU,TUNAI
620,1,Plat copper 50 x 40 mm,Kg,0,442678,37652,22591,NON MDU,TUNAI
621,1,Preformed Termination 150 mm,0,0,0,0,0,NON MDU,TUNAI
622,1,Stop Kontak AC 0 Out Bow,B,3,17213,1570,942,NON MDU,TUNAI
623,1,Cable suport (508/U/2009),B,25,1398,3750,2250,NON MDU,TUNAI
624,1,Paku Baja 2 mm,Bh,50,0,0,0,NON MDU,TUNAI
625,1,Isolasi PVC hitam,Bh,2,0,0,0,NON MDU,TUNAI
626,1,Bolt M.12 + Washer (517/U/2009,B,20,16723,2608,1565,NON MDU,TUNAI
